Order_Date,Region,Category,Sub_Category,Product_Name,Price,Cost,Quantity,Revenue,Profit,Inventory_Days
2023-11-30,East,Office Supplies,Paper,Paper Product 5426,392.05,317.13,19,7448.95,1423.4800000000002,96
2023-08-31,West,Clothing,Men,Men Product 7949,356.96,216.75,2,713.92,280.41999999999996,97
2023-12-31,North,Furniture,Chairs,Chairs Product 3558,309.71,186.59,17,5265.07,2093.0399999999995,100
2023-03-31,South,Furniture,Storage,Storage Product 4890,197.41,186.38,3,592.23,33.09,110
2023-02-28,East,Grocery,Beverages,Beverages Product 8513,474.95,445.49,18,8549.1,530.2799999999996,18
2023-12-31,West,Grocery,Snacks,Snacks Product 9226,225.67,145.04,8,1805.36,645.04,56
2023-04-30,West,Electronics,Laptops,Laptops Product 8989,162.74,127.27,10,1627.4,354.70000000000016,13
2023-10-31,South,Grocery,Dairy,Dairy Product 8629,230.38,170.09,4,921.52,241.15999999999997,23
2023-08-31,South,Office Supplies,Paper,Paper Product 5887,423.82,365.15,15,6357.3,880.0500000000002,62
2023-12-31,West,Furniture,Chairs,Chairs Product 1064,275.92,179.16,15,4138.8,1451.4000000000003,54
2023-08-31,North,Electronics,Accessories,Accessories Product 1391,203.49,143.0,11,2238.3900000000003,665.3900000000001,90
2023-11-30,North,Clothing,Kids,Kids Product 7278,46.28,33.57,9,416.52,114.39000000000001,37
2023-07-31,North,Electronics,Laptops,Laptops Product 9154,162.38,115.91,3,487.14,139.41,53
2023-05-31,East,Clothing,Men,Men Product 1502,486.14,436.13,5,2430.7,250.04999999999995,99
2023-10-31,East,Clothing,Men,Men Product 6116,22.46,14.32,7,157.22,56.980000000000004,61
2023-07-31,North,Office Supplies,Binders,Binders Product 4157,306.16,241.54,4,1224.64,258.48000000000013,22
2023-09-30,South,Office Supplies,Binders,Binders Product 6450,61.69,46.87,12,740.28,177.84,53
2023-09-30,West,Furniture,Storage,Storage Product 8526,165.82,105.88,13,2155.66,779.22,114
2023-05-31,South,Clothing,Men,Men Product 2495,349.29,242.51,15,5239.35,1601.7000000000005,68
2023-01-31,South,Electronics,Phones,Phones Product 8554,134.42,92.27,7,940.9399999999999,295.04999999999995,11
2023-08-31,North,Electronics,Phones,Phones Product 1854,28.07,22.83,2,56.14,10.480000000000004,101
2023-03-31,North,Grocery,Beverages,Beverages Product 5931,343.55,269.97,6,2061.3,441.4799999999999,41
2023-06-30,North,Clothing,Kids,Kids Product 2930,190.21,156.22,6,1141.26,203.94000000000005,95
2023-11-30,West,Electronics,Phones,Phones Product 2986,101.39,62.28,4,405.56,156.44,28
2023-09-30,West,Clothing,Kids,Kids Product 5736,348.56,256.32,18,6274.08,1660.3200000000002,113
2023-02-28,North,Clothing,Men,Men Product 7287,463.1,420.06,3,1389.3000000000002,129.12000000000006,16
2023-12-31,West,Furniture,Chairs,Chairs Product 4108,137.81,130.74,12,1653.72,84.83999999999992,78
2023-09-30,North,Clothing,Kids,Kids Product 7295,181.11,154.68,3,543.33,79.29000000000002,29
2023-08-31,North,Electronics,Accessories,Accessories Product 1098,394.82,329.34,3,1184.46,196.44000000000005,98
2023-02-28,South,Electronics,Phones,Phones Product 9352,247.95,187.69,9,2231.5499999999997,542.3399999999999,109
2023-05-31,South,Office Supplies,Paper,Paper Product 2218,97.62,71.09,8,780.96,212.24,16
2023-12-31,West,Electronics,Phones,Phones Product 4436,259.32,213.35,14,3630.48,643.5799999999999,39
2023-11-30,West,Clothing,Women,Women Product 8022,222.85,161.02,1,222.85,61.829999999999984,37
2023-03-31,West,Electronics,Phones,Phones Product 3205,290.28,252.25,17,4934.759999999999,646.5099999999995,53
2023-06-30,North,Grocery,Snacks,Snacks Product 1606,191.38,115.86,17,3253.46,1283.84,55
2023-05-31,West,Clothing,Men,Men Product 2816,103.55,71.86,3,310.65,95.07,27
2023-10-31,South,Furniture,Storage,Storage Product 5014,465.71,290.9,18,8382.779999999999,3146.58,41
2023-10-31,East,Furniture,Storage,Storage Product 8343,439.91,378.0,1,439.91,61.910000000000025,18
2023-10-31,East,Grocery,Snacks,Snacks Product 6625,406.96,367.68,13,5290.48,510.63999999999965,69
2023-01-31,West,Electronics,Phones,Phones Product 7002,44.76,33.07,14,626.64,163.65999999999997,85
2023-07-31,South,Office Supplies,Binders,Binders Product 5777,339.29,242.54,17,5767.93,1644.7500000000005,61
2023-08-31,North,Clothing,Men,Men Product 6315,387.3,261.64,5,1936.5,628.3000000000002,112
2023-03-31,East,Grocery,Snacks,Snacks Product 2693,322.34,275.32,13,4190.42,611.2599999999998,115
2023-03-31,West,Clothing,Men,Men Product 9308,225.1,141.24,5,1125.5,419.29999999999995,99
2023-10-31,North,Electronics,Phones,Phones Product 8404,458.45,346.05,16,7335.2,1798.3999999999996,98
2023-07-31,West,Grocery,Beverages,Beverages Product 5249,331.98,249.81,3,995.94,246.51000000000005,85
2023-09-30,South,Clothing,Men,Men Product 7617,177.52,112.22,15,2662.8,979.5000000000002,103
2023-01-31,West,Grocery,Dairy,Dairy Product 3849,237.69,196.67,10,2376.9,410.2000000000001,78
2023-10-31,South,Office Supplies,Pens,Pens Product 5611,467.38,362.39,5,2336.9,524.95,118
2023-11-30,West,Furniture,Chairs,Chairs Product 5000,402.47,336.87,3,1207.41,196.80000000000007,42
2023-05-31,East,Grocery,Dairy,Dairy Product 2066,316.71,280.97,8,2533.68,285.9199999999996,83
